"codigo";"cod_pri";"primario";"secundario";"descricao"
"2458";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial"
"2461";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário Família"
"2463";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário Paternidade"
"2466";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário Por Fora - Integração"
"2468";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário Por Safra"
"2477";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Seguro de Vida"
"2478";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Seguro Desemprego"
"2479";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Seguro Desemprego | Indenização"
"2480";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Seguro Desemprego | Liberação das Guias"
"2493";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Tarefa "
"2506";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Tíquete Alimentação"
"2523";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Alteração Contratual ou das Condições de Trabalho | Transferência"
"2537";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Unicidade Contratual"
"2540";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Vale Transporte"
"2546";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Verbas Rescisórias"
"2554";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Reconhecimento de Relação de Emprego"
"2557";"864";"DIREITO DO TRABALHO";"Outras Relações de Trabalho";"Contrato de Aprendizagem"
"2558";"864";"DIREITO DO TRABALHO";"Outras Relações de Trabalho";"Cooperativa de Trabalho"
"2559";"864";"DIREITO DO TRABALHO";"Outras Relações de Trabalho";"Contrato de Estágio"
"2567";"864";"DIREITO DO TRABALHO";"Responsabilidade Civil do Empregador";"Responsabilidade Civil do Empregador"
"2569";"864";"DIREITO DO TRABALHO";"Responsabilidade Civil do Empregador";"Indenizaçao por Dano Moral | Acidente de Trabalho"
"2581";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Remuneração, Verbas Indenizatórias e Benefícios"
"2583";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Abono"
"2594";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Adicional "
"2604";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Adicional  | Adicional de Transferência"
"2606";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Ajuda de Custo"
"2620";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Rescisão do Contrato de Trabalho"
"2622";"864";"DIREITO DO TRABALHO";"Aposentadoria e Pensão";"Aposentadoria e Pensão"
"2624";"864";"DIREITO DO TRABALHO";"Aposentadoria e Pensão";"Complementação de Aposentadoria / Pensão"
"2641";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Verbas Rescisórias | AVISO PRÉVIO"
"2656";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização"
"2657";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização | Anistia"
"2661";"864";"DIREITO DO TRABALHO";"Rescisão do Contrato de Trabalho";"Reintegração / Readmissão ou Indenização | Estabilidade Acidentária"
"2662";"864";"DIREITO DO TRABALHO";"Férias";"Férias"
"2663";"864";"DIREITO DO TRABALHO";"Férias";"Abono Pecuniário"
"2666";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Décimo Terceiro Salário"
"2670";"864";"DIREITO DO TRABALHO";"Contrato Individual de Trabalho";"Advertência / Suspensão"
"2697";"864";"DIREITO DO TRABALHO";"Remuneração, Verbas Indenizatórias e Benefícios";"Salário / Diferença Salarial | Salário por Equiparação / Isonomia"
"2704";"864";"DIREITO DO TRABALHO";"Responsabilidade Solidária / Subsidiária";"Tomador de Serviços / Terceirização"
"3369";"287";"DIREITO PENAL";"Crimes contra a vida";"Crimes contra a vida"
"3370";"287";"DIREITO PENAL";"Crimes contra a vida";"Homicídio Simples"
"3371";"287";"DIREITO PENAL";"Crimes contra a vida";"Homicídio Privilegiado"
"3372";"287";"DIREITO PENAL";"Crimes contra a vida";"Homicídio Qualificado"
"3373";"287";"DIREITO PENAL";"Crimes contra a vida";"Induzimento, Instigação ou Auxílio a Suicídio"
"3375";"287";"DIREITO PENAL";"Crimes contra a vida";"Infanticídio"
"3385";"287";"DIREITO PENAL";"Lesão Corporal";"Lesão Corporal"
"3386";"287";"DIREITO PENAL";"Lesão Corporal";"Leve"
"3387";"287";"DIREITO PENAL";"Lesão Corporal";"Seguida de Morte"
"3388";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Periclitação da Vida e da Saúde e Rixa"
"3389";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Perigo de contágio de moléstia grave"
"3390";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Perigo para a vida ou saúde de outrem"
"3391";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Abandono de incapaz"
"3392";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Omissão de socorro"
"3393";"287";"DIREITO PENAL";"Periclitação da Vida e da Saúde e Rixa";"Rixa"
"3394";"287";"DIREITO PENAL";"Crimes contra a Honra";"Crimes contra a Honra"
"3395";"287";"DIREITO PENAL";"Crimes contra a Honra";"Calúnia"
"3396";"287";"DIREITO PENAL";"Crimes contra a Honra";"Difamação"
"3397";"287";"DIREITO PENAL";"Crimes contra a Honra";"Injúria"
"3400";"287";"DIREITO PENAL";"Crimes contra a liberdade pessoal";"Crimes contra a liberdade pessoal"
"3401";"287";"DIREITO PENAL";"Crimes contra a liberdade pessoal";"Constrangimento ilegal "
"3402";"287";"DIREITO PENAL";"Crimes contra a liberdade pessoal";"Ameaça "
"3403";"287";"DIREITO PENAL";"Crimes contra a liberdade pessoal";"Seqüestro e cárcere privado "
"3404";"287";"DIREITO PENAL";"Crimes contra a liberdade pessoal";"Redução a condição análoga à de escravo "
"3405";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de domicílio";"Crimes contra a inviolabilidade de domicílio"
"3406";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de domicílio";"Violação de domicílio "
"3407";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de correspondência";"Crimes contra a inviolabilidade de correspondência"
"3408";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de correspondência";"Violação de correspondência "
"3409";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de correspondência";"Sonegação ou destruição de correspondência "
"3410";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de correspondência";"Violação de comunicação telegráfica, radioelétrica ou telefônica "
"3411";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de correspondência";"Violação de Correspondência comercial "
"3412";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de segredo";"Crimes contra a inviolabilidade de segredo"
"3413";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de segredo";"Divulgação de segredo "
"3414";"287";"DIREITO PENAL";"Crimes contra a inviolabilidade de segredo";"Violação do segredo profissional "
"3415";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Crimes contra o Patrimônio"
"3416";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Furto "
"3417";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Furto Qualificado "
"3418";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Furto de coisa comum "
"3419";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Roubo "
"3420";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Extorsão "
"3421";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Extorsão mediante seqüestro "
"3422";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Extorsão indireta"
"3423";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Alteração de limites "
"3424";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Usurpação de águas "
"3425";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Esbulho possessório"
"3426";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Dano"
"3427";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Introdução ou abandono de animais em propriedade alheia"
"3428";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Dano em coisa de valor artístico, arqueológico ou histórico"
"3429";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Alteração de local especialmente protegido"
"3430";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Apropriação indébita Previdenciária "
"3431";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Estelionato"
"3432";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Estelionato Majorado "
"3433";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Outras fraudes"
"3434";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Fraude à execução "
"3435";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Receptação"
"3436";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Apropriação indébita"
"3437";"287";"DIREITO PENAL";"Crimes contra o Patrimônio";"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza"
"3438";"287";"DIREITO PENAL";"Crimes Previstos na Legislação Extravagante";"Crimes contra a Propriedade Industrial"
"3442";"287";"DIREITO PENAL";"Crimes contra a Propriedade Intelectual";"Crimes contra a Propriedade Intelectual"
"3443";"287";"DIREITO PENAL";"Crimes contra a Propriedade Intelectual";"Violação de direito autoral"
"3445";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Crimes contra a Organização do Trabalho"
"3446";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Atentado contra a liberdade de trabalho"
"3447";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Atentado contra a liberdade de contrato de trabalho e boicotagem violenta"
"3448";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Atentado contra a liberdade de associação"
"3449";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Paralisação de trabalho, seguida de violência ou perturbação da ordem"
"3450";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Paralisação de trabalho de interesse coletivo"
"3451";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem"
"3452";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Frustração de direitos assegurados por lei trabalhista"
"3453";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Exercício de atividade com infração de decisão administrativa "
"3454";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Aliciamento para fins de emigração"
"3455";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Aliciamento de trabalhadores de um local para outro do território nacional"
"3456";"287";"DIREITO PENAL";"Crimes contra a Organização do Trabalho";"Frustração de lei sobre a nacionalização do trabalho "
"3457";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Crimes contra o sentimento religioso e contra o respeito aos mortos"
"3458";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Destruição / Subração / Ocultação de Cadáver"
"3459";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Impedimento ou Perturbação de Cerimônia Funerária"
"3460";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Vilipêndio a Cadáver"
"3461";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Violação a Sepultura "
"3462";"287";"DIREITO PENAL";"Crimes contra o sentimento religioso e contra o respeito aos mortos";"Ultraje / Impedimento ou Perturbação de Culto Religioso"
"3463";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Crimes contra a Dignidade Sexual"
"3465";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Estupro "
"3466";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Atentado Violento ao Pudor "
"3467";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Atentado ao Pudor Mediante Fraude"
"3468";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Corrupção de Menores"
"3469";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Ultraje Público ao Pudor (Ato/Escrito Obsceno)"
"3471";"287";"DIREITO PENAL";"Crimes contra a Dignidade Sexual";"Mediação para Servir a Lascívia de Outrem "
"3472";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra a Família"
"3473";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra a Assistência Familiar"
"3474";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra a Assistência Familiar | Abandono Material"
"3475";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra a Assistência Familiar | Abandono Intelectual"
"3476";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra a Assistência Familiar | Entrega de Filho Menor a Pessoa Inidônea"
"3477";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento"
"3479";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento | Bigamia"
"3480";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento | Conhecimento Prévio de Impedimento "
"3481";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento | Induzimento a erro essencial e ocultação de impedimento"
"3482";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento | Simulação de Casamento"
"3483";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes contra o Casamento | Simulação de Autoridade para Celebração de Casamento"
"3484";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra o Estado de Filiação"
"3485";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra o Estado de Filiação | Parto Suposto "
"3486";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra o Estado de Filiação | Registro de Nascimento Inexistente"
"3487";"287";"DIREITO PENAL";"Crimes contra a Família";"Crimes Contra o Estado de Filiação | Sonegação do Estado de Filiação"
"3488";"287";"DIREITO PENAL";"Crimes contra a Família";"Crime contra o Pátrio-Poder e Tutela"
"3489";"287";"DIREITO PENAL";"Crimes contra a Família";"Crime contra o Pátrio-Poder e Tutela | Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes"
"3490";"287";"DIREITO PENAL";"Crimes contra a Família";"Crime contra o Pátrio-Poder e Tutela | Subtração de Incapazes "
"3491";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Crimes contra a Incolumidade Pública"
"3492";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Incêndio"
"3493";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Explosão "
"3494";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Uso de gás tóxico ou asfixiante "
"3495";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Inundação / Perigo de Inundação"
"3496";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Desabamento ou desmoronamento"
"3497";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Subtração, ocultação ou inutilização de material de salvamento"
"3498";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Difusão de doença ou praga"
"3500";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Desastre ferroviário / Perigo de Desastre Ferroviário"
"3501";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Atentado contra a segurança de transporte público"
"3502";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Arremesso de projétil"
"3503";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Atentado contra a segurança de serviços de utilidade pública "
"3504";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Interrupção /perturbação de serviços telegráficos/telefônicos"
"3505";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Epidemia "
"3506";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Emprego de Processo Proibido/Substância não permitida"
"3507";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Invólucro ou recipiente com falsa indicação "
"3508";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais"
"3509";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica"
"3510";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Charlatanismo "
"3511";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Corrupção ou Poluição de Água Potável"
"3512";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Curandeirismo "
"3513";"287";"DIREITO PENAL";"Crimes contra a Incolumidade Pública";"Envenenamento de Água Potável / Substância Alimentícia ou Medicinal"
