"codigo";"primario";"descricao"
"277";"Decisão";"Suspensão ou Sobrestamento | Convenção das Partes para Cumprimento Voluntário da obrigação"
"278";"Decisão";"Suspensão ou Sobrestamento | Recebimento de Embargos à Execução"
"279";"Decisão";"Suspensão ou Sobrestamento | Incidente de Insanidade Mental"
"311";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Leilão ou Praça"
"313";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Sessão do Tribunal do Júri"
"332";"Decisão";"Concessão | Antecipação de tutela"
"334";"Decisão";"Não-Concessão | Assistência judiciária gratuita"
"335";"Decisão";"Acolhimento de exceção | de pré-executividade"
"339";"Decisão";"Concessão | Liminar"
"347";"Decisão";"Revogação | Antecipação de Tutela"
"348";"Decisão";"Revogação | Liminar"
"349";"Decisão";"Revogação | Assistência Judiciária Gratuita"
"352";"Decisão";"Decretação de Prisão Criminal | Temporária"
"353";"Decisão";"Decretação de Prisão Criminal | Preventiva"
"354";"Decisão";"Decretação de Prisão Civil | Alimentos"
"355";"Decisão";"Decretação de Prisão Civil | Depositário infiel"
"357";"Decisão";"Desacolhimento de Prisão | Temporária"
"358";"Decisão";"Desacolhimento de Prisão | Preventiva"
"371";"Decisão";"Acolhimento de exceção | Incompetência"
"373";"Decisão";"Rejeição | Exceção de Impedimento ou Suspeição"
"374";"Decisão";"Rejeição | Exceção de incompetência"
"377";"Decisão";"Homologação | Acordo em execução ou em cumprimento de sentença"
"378";"Decisão";"Homologação"
"381";"Decisão";"Concessão de efeito suspensivo | Recurso"
"383";"Decisão";"Concessão de efeito suspensivo | Impugnação ao cumprimento de sentença"
"385";"Julgamento";"Com Resolução do Mérito"
"388";"Decisão";"Recebimento | Aditamento da denúncia"
"389";"Decisão";"Recebimento | Aditamento da queixa"
"390";"Decisão";"Recebimento | Aditamento do libelo"
"391";"Decisão";"Recebimento | Denúncia"
"392";"Decisão";"Recebimento | Libelo"
"393";"Decisão";"Recebimento | Queixa"
"394";"Decisão";"Recebimento | Recurso | Com efeito suspensivo"
"399";"Decisão";"Rejeição | Aditamento da denúncia"
"400";"Decisão";"Rejeição | Aditamento da queixa"
"402";"Decisão";"Rejeição | Denúncia"
"404";"Decisão";"Rejeição | Queixa"
"417";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Inclusão em pauta"
"429";"Decisão";"Admissão | Recurso extraordinário"
"430";"Decisão";"Admissão | Recurso especial"
"431";"Decisão";"Admissão | Recurso de revista"
"432";"Decisão";"Não-Admissão | Recurso Extraordinário"
"433";"Decisão";"Não-Admissão | Recurso Especial"
"434";"Decisão";"Não-Admissão | Recurso de Revista"
"442";"Julgamento";"Com Resolução do Mérito | Concessão | Segurança"
"443";"Julgamento";"Com Resolução do Mérito | Concessão | Habeas corpus"
"444";"Julgamento";"Com Resolução do Mérito | Concessão | Habeas data"
"445";"Julgamento";"Com Resolução do Mérito | Concessão | Mandado de injunção"
"446";"Julgamento";"Com Resolução do Mérito | Denegação | Segurança"
"447";"Julgamento";"Com Resolução do Mérito | Denegação | Habeas corpus"
"448";"Julgamento";"Com Resolução do Mérito | Denegação | Habeas data"
"449";"Julgamento";"Com Resolução do Mérito | Denegação | Mandado de injunção"
"450";"Julgamento";"Com Resolução do Mérito | Concessão em Parte | Segurança"
"451";"Julgamento";"Com Resolução do Mérito | Concessão em Parte | Habeas corpus"
"452";"Julgamento";"Com Resolução do Mérito | Concessão em Parte | Habeas data"
"453";"Julgamento";"Com Resolução do Mérito | Concessão em Parte | Mandado de injunção"
"454";"Julgamento";"Sem Resolução de Mérito | Extinção | Indeferimento da petição inicial"
"455";"Julgamento";"Com Resolução do Mérito | Renúncia ao direito pelo autor"
"456";"Julgamento";"Sem Resolução de Mérito | Extinção"
"457";"Julgamento";"Sem Resolução de Mérito | Extinção | Paralisação por negligência das partes"
"458";"Julgamento";"Sem Resolução de Mérito | Extinção | Abandono da causa"
"459";"Julgamento";"Sem Resolução de Mérito | Extinção | Ausência de pressupostos processuais"
"460";"Julgamento";"Sem Resolução de Mérito | Extinção | Perempção, litispendência ou coisa julgada"
"461";"Julgamento";"Sem Resolução de Mérito | Extinção | Ausência das condições da ação"
"462";"Julgamento";"Sem Resolução de Mérito | Extinção | Convenção de arbitragem"
"463";"Julgamento";"Sem Resolução de Mérito | Extinção | Desistência"
"464";"Julgamento";"Sem Resolução de Mérito | Extinção | Ação intransmissível"
"465";"Julgamento";"Sem Resolução de Mérito | Extinção | Confusão entre autor e réu"
"466";"Julgamento";"Com Resolução do Mérito | Homologação de Transação"
"471";"Julgamento";"Com Resolução do Mérito | Pronúncia de Decadência ou Prescrição"
"472";"Julgamento";"Sem Resolução de Mérito | Arquivamento | Sumaríssimo (art. 852-B, § 1º/CLT)"
"473";"Julgamento";"Sem Resolução de Mérito | Arquivamento | Ausência do Reclamante"
"478";"Contador";"Cálculo | Cálculo de Liquidação"
"479";"Contador";"Cálculo | Custas"
"480";"Contador";"Cálculo | Atualização de conta"
"481";"Contador";"Cálculo | Tributos"
"488";"Distribuidor";"Cancelamento de Distribuição"
"493";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Entrega em carga/vista"
"581";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Juntada | Documento"
"785";"Decisão";"Não-Concessão | Antecipação de tutela"
"787";"Decisão";"Concessão | Assistência Judiciária Gratuita"
"788";"Decisão";"Rejeição | Exceção de pré-executividade"
"792";"Decisão";"Não-Concessão | Liminar"
"799";"Decisão";"Não-Recebimento | Aditamento do libelo"
"803";"Decisão";"Não-Recebimento | Libelo"
"804";"Decisão";"Não-Recebimento | Recurso"
"817";"Decisão";"Concessão"
"818";"Decisão";"Concessão | Liberdade provisória"
"819";"Decisão";"Concessão | Livramento Condicional"
"821";"Decisão";"Conversão | Pena / Medida"
"823";"Decisão";"Decretação de Internação | Provisória"
"824";"Decisão";"Decretação de Internação | Definitiva"
"848";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Trânsito em julgado"
"849";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Reativação"
"853";"Julgamento";"Sem Resolução de Mérito | Conversão de Agravo de Instrumento em Recurso Especial ou Extraordinário"
"861";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Arquivamento"
"865";"Arquivista";"Arquivista"
"866";"Arquivista";"Guarda Intermediária"
"867";"Arquivista";"Guarda Permanente"
"869";"Arquivista";"Entrega definitiva dos autos"
"870";"Arquivista";"Autos Eliminados"
"871";"Julgamento";"Com Resolução do Mérito | Acolhimento em parte de Embargos de Declaração"
"873";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Deliberação em Sessão"
"884";"Julgamento";"Com Resolução do Mérito | Transação Penal"
"888";"Decisão";"Concessão em parte"
"889";"Decisão";"Concessão em parte | Antecipação de Tutela"
"892";"Decisão";"Concessão em parte | Liminar"
"893";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desarquivamento"
"897";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Retirada de pauta"
"898";"Decisão";"Suspensão ou Sobrestamento | Por decisão judicial"
"900";"Julgamento";"Com Resolução do Mérito | Declaração de competência em conflito"
"901";"Julgamento";"Com Resolução do Mérito | Negação de seguimento"
"905";"Decisão";"Decretação de Prisão Civil | de estrangeiro para deportação, expulsão ou extradição"
"928";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Republicação"
"940";"Decisão";"Acolhimento de exceção | Impedimento ou Suspeição"
"941";"Decisão";"Declaração | Incompetência"
"944";"Decisão";"Homologação | Desistência de Recurso"
"945";"Decisão";"Revogação | Decisão anterior"
"947";"Decisão";"Suspensão ou Sobrestamento | Por pendência de AIREsp"
"960";"Decisão";"Suspensão ou Sobrestamento | Conflito de Competência"
"961";"Decisão";"Suscitação de Conflito de Competência"
"968";"Decisão";"Não-Concessão"
"970";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Audiência"
"971";"Decisão";"Suspensão ou Sobrestamento | Exceção da Verdade"
"972";"Julgamento";"Com Resolução do Mérito | Provimento (art. 557 do CPC)"
"973";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade"
"977";"Arquivista";"Recebimento"
"978";"Arquivista";"Remessa"
"979";"Contador";"Recebimento"
"980";"Contador";"Remessa"
"981";"Distribuidor";"Recebimento"
"982";"Distribuidor";"Remessa"
"985";"Oficial de Justiça";"Recebimento | Mandado"
"987";"Oficial de Justiça";"Recebimento | Ofício"
"988";"Decisão";"Concessão | Permissão de saída"
"990";"Decisão";"Concessão | Direito de visita"
"1002";"Decisão";"Concessão | Progressão de regime"
"1003";"Decisão";"Declaração | Remição"
"1004";"Decisão";"Revogação | Livramento Condicional"
"1008";"Decisão";"Autorização"
"1009";"Decisão";"Autorização | Trabalho Externo"
"1010";"Decisão";"Autorização | Saída Temporária"
"1011";"Decisão";"Autorização | Inclusão em Regime Disciplinar Diferenciado"
"1013";"Decisão";"Determinação"
"1014";"Decisão";"Determinação | Regressão de Regime"
"1015";"Decisão";"Determinação | Suspensão do Processo"
"1016";"Decisão";"Revogação | Suspensão Condicional da Pena"
"1017";"Decisão";"Concessão | Suspensão Condicional da Pena"
"1018";"Decisão";"Autorização | Transferência para outro Estabelecimento Penal"
"1019";"Decisão";"Autorização | Transferência da Execução da Pena"
"1042";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Morte do agente"
"1043";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Anistia, graça ou indulto"
"1044";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Retroatividade de lei"
"1045";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Prescrição, decadência ou perempção"
"1046";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Renúncia do queixoso ou perdão aceito "
"1047";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Retratação do agente"
"1048";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Perdão judicial"
"1049";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Pagamento integral do débito"
"1050";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Cumprimento da Pena"
"1051";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Decurso de Prazo"
"1052";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Bens Apreendidos"
"1053";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Bens Apreendidos | Destinação"
"1054";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Bens Apreendidos | Destinação Parcial"
"1055";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Bens Apreendidos | Cadastramento"
"1059";"Decisão";"Recebimento | Recurso | Sem efeito suspensivo"
"1060";"Decisão";"Recebimento | Recurso"
"1061";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Disponibilização no Diário da Justiça Eletrônico"
"1062";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Redisponibilização no Diário da Justiça Eletrônico"
"1063";"Decisão";"Determinação | Determinação de arquivamento de procedimentos investigatórios"
"10953";"Julgamento";"Sem Resolução de Mérito | Pronúncia"
"10961";"Julgamento";"Sem Resolução de Mérito | Impronúncia"
"10962";"Decisão";"Determinação | Regressão de Medida Sócio-Educativa"
"10963";"Decisão";"Concessão | Progressão de Medida Sócio-Educativa"
"10964";"Julgamento";"Com Resolução do Mérito | Extinção por Cumprimento de Medida Sócio-Educativa"
"10965";"Julgamento";"Com Resolução do Mérito | Concessão | Remissão a Adolescente Infrator"
"10966";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Mudança de Classe Processual"
"11002";"Decisão";"Revogação | Revogação da Suspensão do Processo"
"11003";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Início do Cumprimento da Transação Penal"
"11008";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Desmembramento de Feitos"
"11009";"Despacho";"Despacho"
"11010";"Despacho";"Mero expediente"
"11011";"Decisão";"Homologação | Homologada a Remissão"
"11012";"Despacho";"Suspensão ou Sobrestamento | Conflito de Competência"
"11013";"Despacho";"Suspensão ou Sobrestamento | Convenção das Partes"
"11014";"Despacho";"Suspensão ou Sobrestamento | Convenção das Partes para Cumprimento Voluntário da obrigação"
"11015";"Despacho";"Suspensão ou Sobrestamento | Exceção de Incompetência, suspeição ou Impedimento"
"11016";"Despacho";"Suspensão ou Sobrestamento | Exceção da Verdade"
"11017";"Despacho";"Suspensão ou Sobrestamento | Incidente de Insanidade Mental"
"11018";"Despacho";"Suspensão ou Sobrestamento | Recebimento de Embargos à Execução"
"11019";"Despacho";"Ordenação de entrega de autos"
"11020";"Despacho";"Requisição de Informações"
"11021";"Despacho";"Conversão"
"11022";"Despacho";"Conversão | Julgamento em Diligência"
"11023";"Despacho";"Concessão"
"11024";"Despacho";"Concessão | Assistência Judiciária Gratuita"
"11025";"Despacho";"Suspensão ou Sobrestamento"
"11373";"Julgamento";"Sem Resolução de Mérito | Anulação de sentença/acórdão"
"11374";"Julgamento";"Sem Resolução de Mérito | Extinção | Devedor não encontrado"
"11375";"Julgamento";"Sem Resolução de Mérito | Extinção | Inexistência de bens penhoráveis"
"11376";"Julgamento";"Sem Resolução de Mérito | Extinção | Ausência do autor à audiência"
"11377";"Julgamento";"Sem Resolução de Mérito | Extinção | Inadmissibilidade do procedimento sumaríssimo"
"11378";"Julgamento";"Sem Resolução de Mérito | Extinção | Incompetência territorial"
"11379";"Julgamento";"Sem Resolução de Mérito | Extinção | Incompetência em razão da pessoa"
"11380";"Julgamento";"Sem Resolução de Mérito | Extinção | Autor falecido e sem habilitação de sucessores"
"11381";"Julgamento";"Sem Resolução de Mérito | Extinção | Ausência de citação de sucessores do réu falecido"
"11382";"Decisão";"Determinação | Bloqueio/penhora on line"
"11383";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Ato ordinatório"
"11384";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Liquidação iniciada"
"11385";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Execução iniciada"
"11393";"Decisão";"Decretação de Internação | Sanção"
"11394";"Julgamento";"Sem Resolução de Mérito | Homologada a Remissão"
"11395";"Decisão";"Concessão | Remissão ao adolescente com suspensão do processo"
"11396";"Julgamento";"Sem Resolução de Mérito | Concessão de remissão a adolescente com exclusão do processo"
"11401";"Julgamento";"Com Resolução do Mérito | Procedência do pedido e procedência do pedido contraposto"
"11402";"Julgamento";"Com Resolução do Mérito | Procedência do pedido e procedência em parte do pedido contraposto"
"11403";"Julgamento";"Com Resolução do Mérito | Procedência do pedido e improcedência do pedido contraposto"
"11404";"Julgamento";"Com Resolução do Mérito | Procedência em parte do pedido e procedência do pedido contraposto"
"11405";"Julgamento";"Com Resolução do Mérito | Procedência em parte do pedido e procedência em parte do pedido contraposto"
"11406";"Julgamento";"Com Resolução do Mérito | Procedência em parte do pedido e improcedência do pedido contraposto"
"11407";"Julgamento";"Com Resolução do Mérito | Improcedência do pedido e procedência do pedido contraposto"
"11408";"Julgamento";"Com Resolução do Mérito | Improcedência do pedido e procedência em parte do pedido contraposto"
"11409";"Julgamento";"Com Resolução do Mérito | Improcedência do pedido e improcedência do pedido contraposto"
"11411";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Cumprimento da suspensão condicional do processo"
"11415";"Decisão";"Concessão | Comutação da pena"
"11423";"Decisão";"Concessão | Medida protetiva"
"11424";"Decisão";"Concessão em parte | Medida protetiva"
"11425";"Decisão";"Não-Concessão | Medida protetiva"
"11426";"Decisão";"Revogação | Medida protetiva"
"11554";"Decisão";"Concessão | Indulto"
"11792";"Decisão";"Suspensão ou Sobrestamento | Livramento Condicional"
"11795";"Julgamento";"Com Resolução do Mérito | Procedência do Pedido - Reconhecimento pelo réu"
"11796";"Julgamento";"Com Resolução do Mérito | Declaração de competência em conflito"
"11801";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Reparação do dano"
"11876";"Julgamento";"Com Resolução do Mérito | Absolvição Sumária do art. 397-CPP"
"11877";"Julgamento";"Com Resolução do Mérito | Absolvição sumária - crimes dolosos contra a vida"
"11878";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Prescrição"
"11879";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Decadência ou perempção"
"11975";"Decisão";"Suspensão ou Sobrestamento | Recurso Especial repetitivo"
"11983";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Retificação de movimento"
"12028";"Julgamento";"Com Resolução do Mérito | Extinção da Punibilidade | Cumprimento de transação penal"
"12029";"Arquivista";"Recebe Teste"
"12032";"Julgamento";"Com Resolução do Mérito | Concessão | Exequatur"
"12033";"Decisão";"Homologação | Sentença Estrangeira"
"12034";"Decisão";"Não-Concessão | Exequatur"
"12035";"Decisão";"Recebimento | Representação por ato infracional"
"12036";"Decisão";"Rejeição | Representação por ato infracional"
"12037";"Decisão";"Determinação | Quebra de sigilo fiscal"
"12038";"Decisão";"Determinação | Quebra de sigilo bancário"
"12039";"Decisão";"Determinação | Quebra de sigilo telemático"
"12040";"Decisão";"Determinação | Indisponibilidade de bens"
"12041";"Julgamento";"Com Resolução do Mérito | Concessão | Recuperação judicial"
"12065";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento de Suspensão ou Sobrestamento"
"12066";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Cumprimento de Levantamento da Suspensão ou Dessobrestamento"
"12067";"Decisão";"Levantamento da Suspensão ou Dessobrestamento"
"12068";"Despacho";"Levantamento da Suspensão ou Dessobrestamento"
"12092";"Decisão";"Afetação ao rito dos recursos repetitivos "
"12093";"Decisão";"Desafetação ao rito dos recursos repetitivos "
"12094";"Decisão";"Admissão | Incidente de Resolução de demandas repetitivas (art. 981 e 982)"
"12095";"Decisão";"Não-Admissão | Incidente de resolução de demandas repetitivas"
"12096";"Decisão";"Admissão | Incidente de assunção de competência"
"12097";"Decisão";"Não-Admissão | Incidente de assunção de competência "
"12098";"Decisão";"Suspensão ou Sobrestamento | Incidente de Resolução de Demandas Repetitivas "
"12099";"Decisão";"Suspensão ou Sobrestamento | Por decisão do Presidente do STJ -  IRDR"
"12100";"Decisão";"Suspensão ou Sobrestamento | Por decisão do Presidente do STF  - IRDR"
"12101";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Inclusão do processo para julgamento eletrônico"
"12102";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Adiamento do julgamento (CPC, art. 935)"
"12103";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta"
"12104";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta"
"12105";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico"
"12106";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Adiamento do julgamento (art. 935 do CPC)"
"12107";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico | Para análise de repercussão geral"
"12108";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta | Para análise de repercussão geral"
"12109";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico | Para análise da admissão do recurso repetitivo "
"12110";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta | Para análise da admissão do recurso repetitivo "
"12111";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta | Para análise da admissão do IRDR"
"12112";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico | Para análise da admissão do IRDR"
"12113";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico | Para análise da admissão do IAC"
"12114";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta | Para análise da admissão do IAC"
"12115";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão em pauta | Para julgamento de mérito"
"12116";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Pauta | Inclusão do processo para julgamento eletrônico | Para julgamento de mérito"
"12140";"Decisão";"Conversão | Prisão em Flagrante em Prisão Preventiva"
"12141";"Decisão";"Relaxamento do Flagrante"
"12142";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Mudança de Parte"
"12143";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Mudança de Assunto Processual"
"12144";"Decisão";"Unificação e Soma de Penas"
"12145";"Decisão";"Revogação | Detração/Remição"
"12146";"Decisão";"Não-Concessão | Liberdade Provisória"
"12147";"Decisão";"Desacolhimento de Prisão | Domiciliar"
"12148";"Decisão";"Concessão | Prisão Domiciliar"
"12149";"Decisão";"Concessão | Detração/Remição da Pena"
"12150";"Decisão";"Declaração | Impedimento"
"12151";"Decisão";"Declaração | Suspeição"
"12163";"Decisão";"Outras Decisões"
"12164";"Decisão";"Outras Decisões"
"12165";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento"
"12166";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório"
"12167";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Enviada ao Tribunal"
"12168";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Preparada para Envio"
"12169";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Paga"
"12170";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Cancelada"
"12171";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Retificado"
"12172";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Precatório | Suspensão"
"12173";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor"
"12174";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Enviada ao Tribunal"
"12175";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Preparada para Envio"
"12176";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Paga"
"12177";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Cancelada"
"12178";"Escrivão/Diretor de Secretaria/Secretário Jurídico";"Requisição de Pagamento | Pequeno Valor | Retificada"
